ID,Tag Name
67c04bc7618b92c7584be2cc,1040
67c04bc7618b92c7584be2cf,1040 nr
67c04bc7618b92c7584be2d2,1065
67c04bc7618b92c7584be2d5,1120
67c04bc7618b92c7584be2d8,1120s
67c04bc7618b92c7584be2db,2024-temp-job
67c04bc7618b92c7584be2de,501c non profit
67c04bc7618b92c7584be2e1,basha
67c04bc7618b92c7584be2e4,chakri
67c04bc7618b92c7584be2e7,collect invoice first
67c04bc7618b92c7584be2ea,dinesh
67c04bc7618b92c7584be2ed,don't send emails
67c04bc7618b92c7584be2f0,ext filed
67c04bc7618b92c7584be2f3,family
67c04bc7618b92c7584be2f6,from gtta event
67c04bc7618b92c7584be2f9,from google
67c04bc7618b92c7584be2fc,from referral
67c04bc7618b92c7584be2ff,from sulekha
67c04bc7618b92c7584be302,ganesh
67c04bc7618b92c7584be305,ignore client
67c04bc7618b92c7584be308,jayachandra
67c04bc7618b92c7584be30b,jyothi
67c04bc7618b92c7584be30e,manasa
67c04bc7618b92c7584be311,mary
67c04bc7618b92c7584be314,missing docs
67c04bc7618b92c7584be317,moulabi
67c04bc7618b92c7584be31a,mubarak
67c04bc7618b92c7584be31d,not friendly
67c04bc7618b92c7584be320,nagaraju
67c04bc7618b92c7584be323,new client
67c04bc7618b92c7584be326,obulesh
67c04bc7618b92c7584be329,pavan
67c04bc7618b92c7584be32c,pending invoice
67c04bc7618b92c7584be32f,pramod
67c04bc7618b92c7584be332,prathap
67c04bc7618b92c7584be335,rejected
67c04bc7618b92c7584be338,raja sekhar
67c04bc7618b92c7584be33b,raju
67c04bc7618b92c7584be33e,ramana
67c04bc7618b92c7584be341,returning client
67c04bc7618b92c7584be344,review posted
67c04bc7618b92c7584be347,smllc
67c04bc7618b92c7584be34a,sai
67c04bc7618b92c7584be34d,santosh
67c04bc7618b92c7584be350,shahista
67c04bc8618b92c7584be353,sirisha
67c04bc8618b92c7584be356,sudheer
67c04bc8618b92c7584be359,test account
67c04bc8618b92c7584be35c,vali
67c04bc8618b92c7584be35f,vara prasad
67c04bc8618b92c7584be362,vinay